iter	Passed	Remaining
399	39564	69237
400	39689	69184
401	39844	69182
402	40012	69203
403	40170	69204
404	40280	69122
405	40443	69132
406	40588	69110
407	40712	69052
408	40872	69052
409	41019	69032
410	41151	68986
411	41301	68969
412	41451	68952
413	41592	68918
414	41720	68864
415	41847	68806
416	42009	68807
417	42135	68747
418	42291	68736
419	42422	68684
420	42535	68602
421	42649	68522
422	42782	68472
423	42932	68448
424	43098	68449
425	43260	68444
426	43404	68410
427	43566	68403
428	43751	68431
429	43888	68383
430	44046	68369
431	44206	68355
432	44367	68344
433	44500	68289
434	44655	68267
435	44803	68232
436	44934	68173
437	45100	68165
438	45232	68106
439	45377	68066
440	45502	67995
441	45648	67956
442	45792	67913
443	45935	67868
444	46077	67821
445	46209	67760
446	46343	67701
447	46486	67654
448	46620	67595
449	46757	67538
450	46905	67498
451	47036	67432
452	47176	67379
453	47303	67308
454	47438	67248
455	47569	67180
456	47701	67116
457	47835	67053
458	47966	66985
459	48093	66912
460	48245	66873
461	48379	66810
462	48517	66750
463	48635	66664
464	48763	66591
465	48892	66518
466	49030	66458
467	49164	66392
468	49294	66322
469	49424	66250
470	49551	66173
471	49684	66105
472	49808	66025
473	49938	65953
474	50048	65853
475	50219	65834
476	50401	65829
477	50548	65776
478	50673	65695
479	50801	65618
480	50895	65498
481	50993	65381
482	51108	65287
483	51206	65171
484	51341	65102
485	51455	65007
486	51581	64926
487	51691	64826
488	51806	64731
489	51931	64648
490	52039	64545
491	52149	64444
492	52241	64321
493	52337	64202
494	52431	64082
495	52523	63960
496	52610	63831
497	52708	63715
498	52816	63613
499	52911	63493
500	53004	63372
501	53090	63243
502	53179	63117
503	53263	62985
504	53365	62875
505	53454	62750
506	53543	62625
507	53643	62513
508	53740	62397
509	53843	62289
510	53935	62168
511	54023	62042
512	54102	61907
513	54200	61793
514	54302	61682
515	54407	61577
516	54495	61451
517	54596	61342
518	54678	61210
519	54764	61083
520	54860	60967
521	54956	60852
522	55047	60731
523	55141	60613
524	55226	60486
525	55321	60369
526	55419	60256
527	55512	60138
528	55597	60011
529	55691	59894
530	55788	59780
531	55874	59655
532	55972	59542
533	56066	59426
534	56157	59306
535	56247	59186
536	56342	59070
537	56431	58948
538	56526	58833
539	56615	58712
540	56703	58590
541	56793	58470
542	56884	58350
543	56959	58216
544	57052	58099
545	57141	57978
546	57236	57864
547	57337	57755
548	57435	57644
549	57537	57537
550	57630	57421
551	57741	57323
552	57845	57217
553	57942	57105
554	58032	56986
555	58131	56877
556	58221	56758
557	58310	56638
558	58404	56524
559	58498	56409
560	58582	56285
561	58675	56170
562	58760	56046
563	58857	55935
564	58954	55824
565	59039	55701
566	59124	55579
567	59211	55458
568	59303	55343
569	59385	55217
570	59479	55104
571	59560	54979
572	59669	54879
573	59744	54748
574	59836	54633
575	59918	54508
576	60011	54395
577	60097	54274
578	60187	54158
579	60289	54052
580	60377	53934
581	60472	53822
582	60586	53727
583	60684	53618
584	60787	53513
585	60871	53392
586	60971	53284
587	61059	53167
588	61149	53051
589	61242	52938
590	61339	52828
591	61411	52697
592	61506	52586
593	61600	52474
594	61687	52356
595	61784	52247
596	61879	52135
597	61960	52013
598	62051	51899
599	62145	51787
600	62242	51679
601	62319	51553
602	62416	51444
603	62496	51321
604	62587	51208
605	62686	51100
606	62758	50971
607	62854	50862
608	62947	50751
609	63037	50636
610	63126	50521
611	63204	50398
612	63285	50277
613	63362	50153
614	63458	50044
615	63547	49930
616	63636	49816
617	63715	49694
618	63814	49587
619	63909	49478
620	64004	49369
621	64101	49261
622	64187	49145
623	64261	49020
624	64341	48899
625	64437	48791
626	64520	48673
627	64610	48560
628	64697	48445
629	64791	48336
630	64886	48227
631	64988	48124
632	65077	48011
633	65155	47890
634	65259	47788
635	65360	47684
636	65454	47575
637	65566	47479
638	65669	47376
639	65759	47264
640	65852	47154
641	65942	47043
642	66040	46937
643	66171	46854
644	66263	46744
645	66373	46646
646	66466	46536
647	66570	46434
648	66652	46317
649	66743	46207
650	66835	46096
651	66914	45978
652	67012	45872
653	67093	45754
654	67183	45643
655	67300	45550
656	67419	45459
657	67506	45346
658	67587	45229
659	67672	45115
660	67779	45015
661	67894	44921
662	68012	44828
663	68108	44722
664	68219	44624
665	68330	44527
666	68450	44436
667	68570	44344
668	68675	44243
669	68771	44137
670	68890	44044
671	69004	43949
672	69128	43859
673	69251	43770
674	69361	43672
675	69450	43560
676	69557	43460
677	69704	43385
678	69849	43308
679	70001	43236
680	70162	43169
681	70296	43085
682	70451	43013
683	70592	42933
684	70766	42873
685	70869	42769
686	70966	42662
687	71062	42554
688	71150	42442
689	71242	42332
690	71357	42236
691	71487	42148
692	71598	42050
693	71693	41941
694	71796	41838
695	71900	41735
696	72006	41633
697	72117	41534
698	72230	41436
699	72343	41338
700	72449	41237
701	72566	41141
702	72664	41035
703	72768	40932
704	72865	40825
705	72970	40722
706	73084	40625
707	73191	40524
708	73271	40407
709	73378	40306
710	73474	40198
711	73579	40096
712	73708	40007
713	73828	39912
714	73939	39813
715	74077	39728
716	74199	39635
717	74300	39530
718	74391	39420
719	74471	39304
720	74569	39198
721	74656	39086
722	74743	38973
723	74828	38861
724	74908	38745
725	75035	38654
726	75144	38554
727	75234	38443
728	75315	38329
729	75408	38220
730	75492	38107
731	75582	37997
732	75674	37888
733	75763	37778
734	75865	37674
735	75945	37560
736	76025	37445
737	76126	37341
738	76221	37234
739	76303	37120
740	76396	37012
741	76483	36901
742	76585	36798
743	76683	36692
744	76777	36585
745	76865	36474
746	76956	36366
747	77055	36261
748	77135	36147
749	77240	36045
750	77346	35944
751	77466	35848
752	77561	35742
753	77648	35631
754	77733	35520
755	77808	35405
756	77901	35297
757	77985	35185
758	78061	35071
759	78151	34962
760	78225	34847
761	78335	34747
762	78452	34650
763	78547	34544
764	78653	34443
765	78752	34338
766	78832	34225
767	78928	34120
768	79018	34012
769	79107	33903
770	79200	33796
771	79287	33687
772	79371	33576
773	79451	33464
774	79544	33357
775	79622	33244
776	79715	33137
777	79813	33033
778	79901	32924
779	79981	32812
780	80063	32702
781	80153	32594
782	80255	32491
783	80335	32380
784	80417	32269
785	80503	32160
786	80585	32049
787	80679	31944
788	80782	31841
789	80862	31731
790	80944	31620
791	81051	31520
792	81149	31415
793	81233	31306
794	81333	31203
795	81436	31101
796	81526	30994
797	81623	30890
798	81723	30786
799	81805	30676
800	81917	30578
801	82014	30474
802	82146	30382
803	82267	30287
804	82388	30192
805	82487	30088
806	82617	29996
807	82715	29892
808	82805	29785
809	82919	29687
810	83026	29586
811	83141	29488
812	83291	29402
813	83406	29305
814	83489	29195
815	83597	29095
816	83681	28986
817	83768	28878
818	83875	28777
819	83972	28673
820	84073	28570
821	84182	28470
822	84320	28380
823	84447	28285
824	84534	28178
825	84618	28069
826	84714	27965
827	84816	27862
828	84916	27759
829	85013	27655
830	85092	27544
831	85181	27438
832	85287	27337
833	85406	27239
834	85496	27133
835	85591	27028
836	85681	26922
837	85785	26820
838	85895	26720
839	85987	26615
840	86090	26512
841	86188	26409
842	86289	26306
843	86390	26203
844	86479	26097
845	86569	25991
846	86666	25887
847	86766	25784
848	86872	25683
849	86970	25579
850	87055	25472
851	87163	25371
852	87271	25270
853	87355	25163
854	87452	25059
855	87554	24957
856	87675	24860
857	87779	24758
858	87880	24655
859	87988	24555
860	88089	24452
861	88194	24350
862	88297	24248
863	88388	24143
864	88497	24042
865	88597	23939
866	88742	23848
867	88881	23756
868	89016	23662
869	89150	23568
870	89258	23467
871	89388	23372
872	89489	23269
873	89596	23167
874	89706	23067
875	89802	22963
876	89897	22858
877	89987	22753
878	90068	22645
