iter	Logloss
0	0.6534342449
1	0.6202783428
2	0.5939991001
3	0.5726676542
4	0.5565302675
5	0.5426857057
6	0.5309910954
7	0.5219111215
8	0.5138013193
9	0.5077300512
10	0.5024157007
11	0.4979845557
12	0.4938508563
13	0.4901013714
14	0.4871549339
15	0.4842409693
16	0.4813936824
17	0.4789728823
18	0.4766283477
19	0.4748138138
20	0.4731932246
21	0.4717842721
22	0.4702689672
23	0.4692341053
24	0.4678047208
25	0.466844018
26	0.4657058157
27	0.4644166915
28	0.4634054647
29	0.4625728844
30	0.4618669935
31	0.4611542191
32	0.4604348284
33	0.4596301522
34	0.4589676035
35	0.458247758
36	0.4577012618
37	0.4571534281
38	0.4566076708
39	0.456050015
40	0.4555110165
41	0.4549049961
42	0.454480245
43	0.4541249539
44	0.4537624433
45	0.4534445546
46	0.4530064236
47	0.452581799
48	0.4520912876
49	0.4518135253
50	0.4514888349
51	0.451175832
52	0.45087427
53	0.4506128705
54	0.4502412941
55	0.4499867849
56	0.4496871816
57	0.4494372198
58	0.4490698424
59	0.4488670079
60	0.4486519062
61	0.4484521534
62	0.4481850398
63	0.4479135194
64	0.4476974004
65	0.4475383913
66	0.4471944038
67	0.4469690844
68	0.4467409912
69	0.4465594771
70	0.4463777168
71	0.4461750847
72	0.4459207822
73	0.4457446879
74	0.4454928866
75	0.4453117639
76	0.4451497859
77	0.4449783449
78	0.4447673052
79	0.4445906537
80	0.4444329857
81	0.44428435
82	0.4440519414
83	0.4439213244
84	0.4437715525
85	0.4436552006
86	0.4435584213
87	0.4434688901
88	0.4433272098
89	0.443131584
90	0.4429876398
91	0.4428317731
92	0.4426883366
93	0.4425821866
94	0.4424264834
95	0.4422903881
96	0.4421384335
97	0.4419769538
98	0.4418448406
99	0.441650886
100	0.4414663531
101	0.441308565
102	0.4411849449
103	0.4410501105
104	0.4409219944
105	0.4407702705
106	0.4406275555
107	0.4404730641
108	0.4403563709
109	0.440214139
110	0.440074657
111	0.4399278012
112	0.4397699636
113	0.4396107114
114	0.4393407932
115	0.4392101866
116	0.4390726062
117	0.4388811746
118	0.4387359512
119	0.4385826304
120	0.4384020859
121	0.4382632668
122	0.4380810654
123	0.4378992279
124	0.4377676226
125	0.4376229365
126	0.4374736707
127	0.4373113987
128	0.4371255129
129	0.4369473558
130	0.4367569625
131	0.4365618064
132	0.4363365115
133	0.4361715513
134	0.4359842334
135	0.4358109368
136	0.4356457601
137	0.4354537175
138	0.435298497
139	0.4350377262
140	0.434851849
141	0.4346805404
142	0.4345150494
143	0.4343829044
144	0.43421103
145	0.4340051924
146	0.4338044787
147	0.4336276811
148	0.4334155154
149	0.4332845247
150	0.4330669452
151	0.4329115507
152	0.4327595988
153	0.4326185262
154	0.4324820663
155	0.4323180731
156	0.4321617043
157	0.4319953675
158	0.4318461722
159	0.4316878334
160	0.4315312339
161	0.4313705932
162	0.4312414254
163	0.4311335936
164	0.4309631645
165	0.4308051697
166	0.4306745403
167	0.4304746612
168	0.4303197134
169	0.4301572181
170	0.4300060525
171	0.4298469289
172	0.4296965383
173	0.4294708689
174	0.429348548
175	0.4292518321
176	0.4290924354
177	0.4290018781
178	0.4288802014
179	0.4287600482
180	0.428611804
181	0.4284804949
182	0.428344577
183	0.4281946561
184	0.4280491197
185	0.4278856865
186	0.4277829656
187	0.4276508108
188	0.4274985588
189	0.4273435474
190	0.4272135118
191	0.4271193306
192	0.4268798867
193	0.4267598391
194	0.4266182045
195	0.4265042657
196	0.4263811634
197	0.4262635752
198	0.4261537423
199	0.4260361846
200	0.4259059438
201	0.4257228099
202	0.4255820294
203	0.4254719959
204	0.4253196431
205	0.4251783362
206	0.4250542592
207	0.4249302032
208	0.4248052035
209	0.4247267398
210	0.4246096003
211	0.4245154984
212	0.4244022299
213	0.4242879635
214	0.4241926091
215	0.4240394659
216	0.4239673062
217	0.4238422452
218	0.4237103815
219	0.423611096
220	0.4234666296
221	0.4233601196
222	0.423228572
223	0.4230852831
224	0.4229777308
225	0.4228783472
226	0.4227734071
227	0.4226902594
228	0.422582794
229	0.4224678623
230	0.4223687424
231	0.4222508977
232	0.4221488154
233	0.4220422499
234	0.4219023027
235	0.4217747719
236	0.42163479
237	0.4215014
238	0.4213674553
239	0.4212417407
240	0.4211031767
241	0.4209805703
242	0.4208410416
243	0.4207467022
244	0.4206305332
245	0.4205172738
246	0.4204201619
247	0.4202681695
248	0.420133304
249	0.42002898
250	0.4199033756
251	0.419842983
252	0.4197205661
253	0.4196061396
254	0.4194771527
255	0.4193921268
256	0.4192610293
257	0.4191601493
258	0.4190517287
259	0.4189432609
260	0.4188184137
261	0.4187406751
262	0.4186593631
263	0.4185243645
264	0.4184073909
265	0.4182600596
266	0.4182203543
267	0.4181093701
268	0.418010173
269	0.4179003917
270	0.4178121756
271	0.41771636
272	0.4176098418
273	0.4175427304
274	0.4174378668
275	0.4173348073
276	0.4172109578
277	0.41711133
278	0.4169982934
279	0.4168956452
280	0.4167768377
281	0.4166437912
282	0.4165425236
283	0.4164322653
284	0.4162968798
285	0.4162112036
286	0.4160959004
287	0.4160192461
288	0.4159329809
289	0.4158483862
290	0.4157155415
291	0.415591396
292	0.4154989551
293	0.4154076862
294	0.4153046969
295	0.4151872014
296	0.4150759857
297	0.4149940779
298	0.4148101842
299	0.414699332
300	0.4145485572
301	0.4145060557
302	0.4143677334
303	0.4142770607
304	0.4141804769
305	0.414054843
306	0.413945708
307	0.4137872924
308	0.4137011037
309	0.4136175162
310	0.4135323477
311	0.4134193613
312	0.4133523721
313	0.4132686148
314	0.4131894333
315	0.4130856352
316	0.4129717949
317	0.4128911695
